,landingPageUrl,loyaltyPointsEnabled,adId,isPLA,productId,product,productName,rating,ratingCount,isFastFashion,futureDiscountedPrice,futureDiscountStartDate,discount,brand,searchImage,effectiveDiscountPercentageAfterTax,effectiveDiscountAmountAfterTax,buyButtonWinnerSkuId,buyButtonWinnerSellerPartnerId,relatedStylesCount,relatedStylesType,productVideos,inventoryInfo,sizes,images,gender,primaryColour,discountLabel,discountDisplayLabel,additionalInfo,category,mrp,price,advanceOrderTag,colorVariantAvailable,productimagetag,listViews,discountType,tdBxGyText,catalogDate,season,year,isPersonalised,eorsPicksTag,personalizedCoupon,personalizedCouponValue,productMeta,systemAttributes,PAGE_URL_COMPLETE
0,Kurtis/Libas/Libas-Women-Black-Embroidered-A-Line-Kurti/7320165/buy,False,,False,7320165,Libas Women Black Embroidered A-Line Kurti,Libas Women Black Embroidered A-Line Kurti,4.4726367,201,True,0,,750,Libas,http://assets.myntassets.com/assets/images/7320165/2018/9/14/ffacac36-d3ad-4575-af2a-70043199fe9d1536904066226-Libas-Women-Kurtis-9301536904066080-1.jpg,0,0,31616184,3422,0,,[],"[{'skuId': 31616184, 'label': 'XS', 'inventory': 0, 'available': False}, {'skuId': 31616185, 'label': 'S', 'inventory': 41, 'available': True}, {'skuId': 31616186, 'label': 'M', 'inventory': 208, 'available': True}, {'skuId': 31616187, 'label': 'L', 'inventory': 10, 'available': True}, {'skuId': 31616188, 'label': 'XL', 'inventory': 79, 'available': True}, {'skuId': 31616189, 'label': 'XXL', 'inventory': 35, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/7320165/2018/9/14/ffacac36-d3ad-4575-af2a-70043199fe9d1536904066226-Libas-Women-Kurtis-9301536904066080-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/7320165/2018/9/14/ffacac36-d3ad-4575-af2a-70043199fe9d1536904066226-Libas-Women-Kurtis-9301536904066080-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/7320165/2018/9/14/f5ab4c53-62e7-44c2-b6df-d0575525fb1e1536904066282-Libas-Women-Kurtis-9301536904066080-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/7320165/2018/9/14/b7a77fce-93b6-415f-9d33-339cfdb8d6ac1536904066191-Libas-Women-Kurtis-9301536904066080-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/7320165/2018/9/14/b452d030-7043-4741-a2c4-edb08cbec3661536904066176-Libas-Women-Kurtis-9301536904066080-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/7320165/2018/9/14/95642199-5bf5-4c86-af30-1f4f861240501536904066207-Libas-Women-Kurtis-9301536904066080-2.jpg'}]",Women,Black,Flat_Search_Percent,(50% OFF),Embroidered A-Line Kurti,Kurtis,1499,749,,False,,0,1,,1536796800000,Winter,2018,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Kurtis/Libas/Libas-Women-Black-Embroidered-A-Line-Kurti/7320165/buy
1,Kurtis/Anubhutee/Anubhutee-Women-Black--Golden-Printed-Straight-Kurti/11535124/buy,False,,False,11535124,Anubhutee Women Black & Golden Printed Straight Kurti,Anubhutee Women Black & Golden Printed Straight Kurti,4.1641793,67,True,0,,320,Anubhutee,http://assets.myntassets.com/assets/images/11535124/2020/2/27/a6a39558-504a-4361-ac36-e107f772edd91582796416831-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-1.jpg,0,0,40120552,6872,0,,[],"[{'skuId': 40120544, 'label': 'S', 'inventory': 43, 'available': True}, {'skuId': 40120546, 'label': 'M', 'inventory': 33, 'available': True}, {'skuId': 40120548, 'label': 'L', 'inventory': 76, 'available': True}, {'skuId': 40120550, 'label': 'XL', 'inventory': 98, 'available': True}, {'skuId': 40120552, 'label': 'XXL', 'inventory': 107, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/a6a39558-504a-4361-ac36-e107f772edd91582796416831-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/a6a39558-504a-4361-ac36-e107f772edd91582796416831-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/9b0fea60-d3bb-4ace-b4d8-6d18f5e508601582796416648-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/d31ddfb2-dc12-4f62-af75-7cb09a6006881582796416737-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/a72b3c6b-a097-49be-a326-ddb5eafa3f7c1582796416696-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11535124/2020/2/27/4af51f8a-c27e-4016-9361-682be5f305851582796416778-Anubhutee-Women-Black--Golden-Printed-Straight-Kurti-7181582-2.jpg'}]",Women,Black,Flat_Search_Percent,(32% OFF),Women Printed Straight Kurti,Kurtis,999,679,,False,,0,1,,1582761600000,Summer,2020,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Kurtis/Anubhutee/Anubhutee-Women-Black--Golden-Printed-Straight-Kurti/11535124/buy
2,Kurtis/Libas/Libas-Women-Black--Golden-Printed-Kurti/8073599/buy,False,,False,8073599,Libas Women Black & Golden Printed Kurti,Libas Women Black & Golden Printed Kurti,4.2040815,98,True,0,,700,Libas,http://assets.myntassets.com/assets/images/8073599/2018/12/10/d38eb6c9-f65e-4d1d-ad2d-ae9cf2c6526c1544418653322-Libas-Women-Kurtis-7521544418652090-1.jpg,0,0,32591201,3422,0,,[],"[{'skuId': 32591194, 'label': 'XS', 'inventory': 33, 'available': True}, {'skuId': 32591198, 'label': 'S', 'inventory': 31, 'available': True}, {'skuId': 32591201, 'label': 'M', 'inventory': 85, 'available': True}, {'skuId': 32591203, 'label': 'L', 'inventory': 4, 'available': True}, {'skuId': 32591204, 'label': 'XL', 'inventory': 80, 'available': True}, {'skuId': 32591206, 'label': 'XXL', 'inventory': 29, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/8073599/2018/12/10/d38eb6c9-f65e-4d1d-ad2d-ae9cf2c6526c1544418653322-Libas-Women-Kurtis-7521544418652090-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/8073599/2018/12/10/d38eb6c9-f65e-4d1d-ad2d-ae9cf2c6526c1544418653322-Libas-Women-Kurtis-7521544418652090-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/8073599/2018/12/10/725de27d-05ef-4112-8057-e427732ba01d1544418653265-Libas-Women-Kurtis-7521544418652090-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/8073599/2018/12/10/37049fa8-ddb8-4f78-9d1f-e3fde3473bfa1544419965494-Libas-Women-Kurtis-1691544419964900-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/8073599/2018/12/10/7dd494af-729c-4ff3-8a89-99f98565e2d01544418653277-Libas-Women-Kurtis-7521544418652090-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/8073599/2018/12/10/5dc35802-2eee-47b6-97c9-3ad2b062d4541544419965506-Libas-Women-Kurtis-1691544419964900-2.jpg'}]",Women,Black,Flat_Search_Percent,(50% OFF),Women Printed Kurti,Kurtis,1399,699,,False,,0,1,,1544054400000,Winter,2018,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Kurtis/Libas/Libas-Women-Black--Golden-Printed-Kurti/8073599/buy
3,Kurtis/Kvsfab/Kvsfab-Women-Brown-Solid-A-Line-Kurti/10980042/buy,False,,False,10980042,Kvsfab Women Brown Solid A-Line Kurti,Kvsfab Women Brown Solid A-Line Kurti,4.0,20,True,0,,1044,Kvsfab,http://assets.myntassets.com/assets/images/10980042/2020/1/10/25466544-e2c2-4dd0-bd22-a611a7377a0f1578650845211-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-1.jpg,0,0,37849058,2054,0,,[],"[{'skuId': 37849054, 'label': 'S', 'inventory': 15, 'available': True}, {'skuId': 37849058, 'label': 'M', 'inventory': 32, 'available': True}, {'skuId': 37849060, 'label': 'L', 'inventory': 27, 'available': True}, {'skuId': 37849062, 'label': 'XL', 'inventory': 22, 'available': True}, {'skuId': 37849064, 'label': 'XXL', 'inventory': 42, 'available': True}, {'skuId': 37849066, 'label': '3XL', 'inventory': 51, 'available': True}]","S,M,L,XL,XXL,3XL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/25466544-e2c2-4dd0-bd22-a611a7377a0f1578650845211-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/25466544-e2c2-4dd0-bd22-a611a7377a0f1578650845211-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/519e7c43-c22a-4265-9317-6292468487c61578650844962-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/04c45fc0-011c-41cf-9e08-63e2df84fabe1578650845013-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/d4c56eb5-9728-45bd-af62-53a4bc1d57641578650845119-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/2d15a713-e85a-4bd0-84bc-59ca8e9d82771578650845073-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10980042/2020/1/10/a5bc25ca-16dd-4941-8dec-e925e0c12d6e1578650845171-Kvsfab-Women-Brown-Solid-A-Line-Kurti-371578650844076-2.jpg'}]",Women,Brown,Flat_Search_Percent,(58% OFF),Women Solid A-Line Kurti,Kurtis,1799,755,,False,,0,1,,1573689600000,Winter,2019,False,,,0,,[],www.myntra.com/Kurtis/Kvsfab/Kvsfab-Women-Brown-Solid-A-Line-Kurti/10980042/buy
4,Kurtis/Anubhutee/Anubhutee-Women-Charcoal-Grey--Red-Printed-Straight-Kurti/10513934/buy,False,,False,10513934,Anubhutee Women Charcoal Grey & Red Printed Straight Kurti,Anubhutee Women Charcoal Grey & Red Printed Straight Kurti,4.462963,54,True,0,,506,Anubhutee,http://assets.myntassets.com/assets/images/10513934/2019/9/4/fafd74a5-b443-4328-a60f-2f34ba73b20d1567581164719-Anubhutee-Women-Kurtis-3671567581163603-1.jpg,0,0,35991006,6872,0,,[],"[{'skuId': 35991006, 'label': 'S', 'inventory': 182, 'available': True}, {'skuId': 35991008, 'label': 'M', 'inventory': 186, 'available': True}, {'skuId': 35991010, 'label': 'L', 'inventory': 185, 'available': True}, {'skuId': 35991012, 'label': 'XL', 'inventory': 196, 'available': True}, {'skuId': 35991014, 'label': 'XXL', 'inventory': 198, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/fafd74a5-b443-4328-a60f-2f34ba73b20d1567581164719-Anubhutee-Women-Kurtis-3671567581163603-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/fafd74a5-b443-4328-a60f-2f34ba73b20d1567581164719-Anubhutee-Women-Kurtis-3671567581163603-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/a73601a0-9944-43f4-b031-d7e7014d0d691567581164652-Anubhutee-Women-Kurtis-3671567581163603-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/5017e395-cd24-49c9-8f4f-1fa4093f88091567581164686-Anubhutee-Women-Kurtis-3671567581163603-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/c805751b-3f0f-48d6-a931-b07042a9183d1567582222051-Anubhutee-Women-Kurtis-4741567582221723-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/10513934/2019/9/4/c48c1ae7-5220-4e21-88e0-c6595a963ebb1567581164670-Anubhutee-Women-Kurtis-3671567581163603-4.jpg'}]",Women,Charcoal,Flat_Search_Percent,(46% OFF),Women Printed Straight Kurti,Kurtis,1099,593,,False,,0,1,,1567641600000,Winter,2019,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Kurtis/Anubhutee/Anubhutee-Women-Charcoal-Grey--Red-Printed-Straight-Kurti/10513934/buy
5,Kurtis/Anubhutee/Anubhutee-Women-Black--Blue-Printed-Straight-Kurti/11535128/buy,False,,False,11535128,Anubhutee Women Black & Blue Printed Straight Kurti,Anubhutee Women Black & Blue Printed Straight Kurti,4.04,25,True,0,,320,Anubhutee,http://assets.myntassets.com/assets/images/11535128/2020/2/26/206dba0d-2a7f-4dbc-acfa-3a3671015d0e1582719231807-Anubhutee-Women-Kurtis-6001582719230549-1.jpg,0,0,40120566,6872,0,,[],"[{'skuId': 40120564, 'label': 'S', 'inventory': 87, 'available': True}, {'skuId': 40120566, 'label': 'M', 'inventory': 91, 'available': True}, {'skuId': 40120568, 'label': 'L', 'inventory': 90, 'available': True}, {'skuId': 40120570, 'label': 'XL', 'inventory': 97, 'available': True}, {'skuId': 40120572, 'label': 'XXL', 'inventory': 102, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11535128/2020/2/26/206dba0d-2a7f-4dbc-acfa-3a3671015d0e1582719231807-Anubhutee-Women-Kurtis-6001582719230549-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11535128/2020/2/26/206dba0d-2a7f-4dbc-acfa-3a3671015d0e1582719231807-Anubhutee-Women-Kurtis-6001582719230549-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11535128/2020/2/26/c0e29f0b-3fca-4832-895e-617571d9bd671582719231641-Anubhutee-Women-Kurtis-6001582719230549-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11535128/2020/2/26/86949447-e718-437e-9a61-59db14c9af261582719231724-Anubhutee-Women-Kurtis-6001582719230549-3.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11535128/2020/2/26/f559a23a-f57f-4125-90f9-66336885360e1582719231759-Anubhutee-Women-Kurtis-6001582719230549-2.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11535128/2020/2/26/1e4d2fb4-7783-4362-8433-7b9245d70ee71582719231687-Anubhutee-Women-Kurtis-6001582719230549-4.jpg'}]",Women,Black,Flat_Search_Percent,(32% OFF),Women Printed Straight Kurti,Kurtis,999,679,,False,,0,1,,1582761600000,Summer,2020,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Kurtis/Anubhutee/Anubhutee-Women-Black--Blue-Printed-Straight-Kurti/11535128/buy
6,Kurtis/Libas/Libas-Women-Navy-Blue--Beige-Printed-A-Line-Kurti/11917576/buy,False,,False,11917576,Libas Women Navy Blue & Beige Printed A-Line Kurti,Libas Women Navy Blue & Beige Printed A-Line Kurti,4.1923075,26,True,0,,520,Libas,http://assets.myntassets.com/assets/images/11917576/2020/6/15/00282f44-0c42-4fe2-bc06-1199e026d29c1592196585377AlcisWomenBraTopTshirtsAlcisWomenTshirtsAlcisWomenTightsAlci1.jpg,0,0,41488406,3422,0,,[],"[{'skuId': 41488402, 'label': 'XS', 'inventory': 26, 'available': True}, {'skuId': 41488406, 'label': 'S', 'inventory': 86, 'available': True}, {'skuId': 41488410, 'label': 'M', 'inventory': 191, 'available': True}, {'skuId': 41488414, 'label': 'L', 'inventory': 82, 'available': True}, {'skuId': 41488418, 'label': 'XL', 'inventory': 104, 'available': True}, {'skuId': 41488422, 'label': 'XXL', 'inventory': 14, 'available': True}]","XS,S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/11917576/2020/6/15/00282f44-0c42-4fe2-bc06-1199e026d29c1592196585377AlcisWomenBraTopTshirtsAlcisWomenTshirtsAlcisWomenTightsAlci1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/11917576/2020/6/15/00282f44-0c42-4fe2-bc06-1199e026d29c1592196585377AlcisWomenBraTopTshirtsAlcisWomenTshirtsAlcisWomenTightsAlci1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/11917576/2020/6/15/f394bb36-974b-417e-bdc7-a99e72f3ec4b1592196585679AlcisWomenBraTopTshirtsAlcisWomenTshirtsAlcisWomenTightsAlci5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/11917576/2020/6/15/76abd0d2-d349-4f88-957c-1209b2db616f1592196585531AlcisWomenBraTopTshirtsAlcisWomenTshirtsAlcisWomenTightsAlci3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/11917576/2020/6/15/29fa2d36-132b-409e-b804-b67acdee31831592196585604AlcisWomenBraTopTshirtsAlcisWomenTshirtsAlcisWomenTightsAlci4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/11917576/2020/6/15/bece8ca2-ef67-4820-8faf-b36265750e851592196585464AlcisWomenBraTopTshirtsAlcisWomenTshirtsAlcisWomenTightsAlci2.jpg'}]",Women,Navy Blue,Flat_Search_Percent,(40% OFF),Women Printed A-Line Kurti,Kurtis,1299,779,,False,,0,1,,1591833600000,Summer,2020,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Kurtis/Libas/Libas-Women-Navy-Blue--Beige-Printed-A-Line-Kurti/11917576/buy
7,Kurtis/Ira-Soleil/Ira-Soleil-Women-Black-Printed-Kurti/110269/buy,False,,False,110269,Ira Soleil Women Black Printed Kurti,Ira Soleil Women Black Printed Kurti,3.362903,124,True,0,,324,Ira Soleil,http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424411016-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-1.jpg,0,0,501524,3395,0,,[],"[{'skuId': 501524, 'label': 'XS', 'inventory': 65, 'available': True}, {'skuId': 377107, 'label': 'S', 'inventory': 66, 'available': True}, {'skuId': 377109, 'label': 'M', 'inventory': 0, 'available': False}, {'skuId': 377110, 'label': 'L', 'inventory': 221, 'available': True}, {'skuId': 501526, 'label': 'XL', 'inventory': 86, 'available': True}, {'skuId': 501527, 'label': 'XXL', 'inventory': 4, 'available': True}]","XS,S,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424411016-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424411016-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-1.jpg'}, {'view': 'top', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410925-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-6.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410945-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410978-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410960-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/110269/2018/4/11/11523424410996-Ira-Soleil-Women-Black-Printed-Kurti-2931523424410785-2.jpg'}]",Women,Black,Flat_Search_Percent,(35% OFF),Printed Kurti,Kurtis,925,601,,False,,0,1,,1362614400000,Spring,2018,False,,,0,,"[{'attribute': 'SA_XT_Trending', 'value': 'TRENDING'}]",www.myntra.com/Kurtis/Ira-Soleil/Ira-Soleil-Women-Black-Printed-Kurti/110269/buy
8,Tunics/Vishudh/Vishudh-Women-Black-Solid-Tunic/11425210/buy,False,,False,11425210,Vishudh Women Black Solid Tunic,Vishudh Women Black Solid Tunic,4.5,4,True,0,,841,Vishudh,http://assets.myntassets.com/assets/images/productimage/2020/1/29/f679e5dc-0211-43d3-8894-e1c6b2c2e21d1580259030226-1.jpg,0,0,39671910,4214,0,,[],"[{'skuId': 39671898, 'label': 'S', 'inventory': 3, 'available': True}, {'skuId': 39671900, 'label': 'M', 'inventory': 17, 'available': True}, {'skuId': 39671904, 'label': 'L', 'inventory': 20, 'available': True}, {'skuId': 39671908, 'label': 'XL', 'inventory': 7, 'available': True}, {'skuId': 39671910, 'label': 'XXL', 'inventory': 9, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/f679e5dc-0211-43d3-8894-e1c6b2c2e21d1580259030226-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/f679e5dc-0211-43d3-8894-e1c6b2c2e21d1580259030226-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/cc4d1a8c-c393-4f58-a8db-62c153da4c7c1580259030456-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/807e3499-453d-47ca-833d-fcd5617c13bd1580259030342-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/cdb9315e-40da-4a04-b98d-6a9e3b29ee3b1580259030398-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/productimage/2020/1/29/7fd78bff-bfc0-4e00-ac16-ba68e34902d51580259030287-2.jpg'}]",Women,Black,Flat_Search_Percent,(51% OFF),Solid Tunic,Tunics,1649,808,,False,,0,1,,1579737600000,Summer,2020,False,,,0,,[],www.myntra.com/Tunics/Vishudh/Vishudh-Women-Black-Solid-Tunic/11425210/buy
9,Tunics/Vishudh/Vishudh-Orange--Pink-Printed-Tunic/9971489/buy,False,,False,9971489,Vishudh Orange & Pink Printed Tunic,Vishudh Orange & Pink Printed Tunic,3.935065,77,True,0,,636,Vishudh,http://assets.myntassets.com/assets/images/9971489/2019/7/30/545a76f5-02dc-408f-a7bc-c50356004b131564477916524-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-1.jpg,0,0,34639752,4214,0,,[],"[{'skuId': 34639752, 'label': 'S', 'inventory': 10, 'available': True}, {'skuId': 34639753, 'label': 'M', 'inventory': 17, 'available': True}, {'skuId': 34639754, 'label': 'L', 'inventory': 17, 'available': True}, {'skuId': 34639755, 'label': 'XL', 'inventory': 8, 'available': True}, {'skuId': 34639756, 'label': 'XXL', 'inventory': 10, 'available': True}]","S,M,L,XL,XXL","[{'view': 'default', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/545a76f5-02dc-408f-a7bc-c50356004b131564477916524-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-1.jpg'}, {'view': 'search', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/545a76f5-02dc-408f-a7bc-c50356004b131564477916524-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-1.jpg'}, {'view': 'left', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/517f34b2-07b9-46b5-a549-91b8f006e77d1564477916431-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-5.jpg'}, {'view': 'back', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/e9c8b2ff-aec6-48ba-944b-6db8c48034161564477916477-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-3.jpg'}, {'view': 'right', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/e4a42ac9-ce93-4d71-bb9e-d773739771d41564477916453-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-4.jpg'}, {'view': 'front', 'src': 'http://assets.myntassets.com/assets/images/9971489/2019/7/30/c7936a62-da6c-4362-bbb8-6a7c74a8c94e1564477916501-Vishudh-Orange--Pink-Printed-Tunic-3331564477914687-2.jpg'}]",Women,Orange,Flat_Search_Percent,(53% OFF),Printed Tunic,Tunics,1199,563,,False,,0,1,,1559779200000,Summer,2019,False,,,0,,[],www.myntra.com/Tunics/Vishudh/Vishudh-Orange--Pink-Printed-Tunic/9971489/buy
